data_structure,null_model,bf
null_both,A,0.0017023684310162096
null_both,B,0.05168588735369392
null_both,C1,0.0365186475367152
null_both,C2,0.04661641506040656
null_both,A,0.0010970861684196026
null_both,B,0.05324214873644695
null_both,C1,0.0221683523977383
null_both,C2,0.04948884557300395
null_both,A,0.017850448502638467
null_both,B,0.7989325799932198
null_both,C1,0.01464649689865983
null_both,C2,1.2187520760866581
null_both,A,3.999832992233105e-4
null_both,B,0.04705312268948706
null_both,C1,0.008887587365071534
null_both,C2,0.04500471081671231
null_both,A,7.680865695773526e-4
null_both,B,0.05002512674129716
null_both,C1,0.015569217964403697
null_both,C2,0.049333664114244447
null_both,A,0.0023176445551342938
null_both,B,0.1488233295751531
null_both,C1,0.01398327213618612
null_both,C2,0.16574407853628614
null_both,A,0.004880510753479292
null_both,B,0.45599458735221815
null_both,C1,0.00849601077195193
null_both,C2,0.5744473358710221
null_both,A,5.867798311463783e-4
null_both,B,0.05225663202706621
null_both,C1,0.011987492113443111
null_both,C2,0.04894934032852016
null_re,A,6787843231626377e82
null_re,B,233003070764509.88
null_re,C1,0.037954085025957277
null_re,C2,17884354811831415e83
null_re,A,5494992628797957e74
null_re,B,1937217256122463
null_re,C1,0.02239618438370445
null_re,C2,24535396452603655e75
null_re,A,41891333919249745e64
null_re,B,79163729743756.97
null_re,C1,0.014090403135603538
null_re,C2,2973040126396313e67
null_re,A,32202243764476917e80
null_re,B,76686269142297008
null_re,C1,0.008826586534604056
null_re,C2,3648323577662743e83
null_re,A,23656745909150817e76
null_re,B,381438104815704.4
null_re,C1,0.01614294855292193
null_re,C2,14654538377295716e78
null_re,A,40057609825838137e89
null_re,B,13774247659191114
null_re,C1,0.013676196287620639
null_re,C2,29290022593560837e91
null_re,A,8857730686556539e90
null_re,B,8538141910448602e3
null_re,C1,0.009126997528397098
null_re,C2,9704977632564232e92
null_re,A,496376394937791e75
null_re,B,2934220013007148.5
null_re,C1,0.011592209309803545
null_re,C2,42819826805404675e75
null_fe,A,12235735276878707e22
null_fe,B,0.3795700320991066
null_fe,C1,13501379859584854e23
null_fe,C2,0.09062581309563227
null_fe,A,15757719866978906e26
null_fe,B,0.016131752075465102
null_fe,C1,16501701459074113e27
null_fe,C2,0.095491485566259
null_fe,A,6902598489404596e18
null_fe,B,0.603811627553594
null_fe,C1,2343296006581859e19
null_fe,C2,0.29456792782544544
null_fe,A,8639517296579815e28
null_fe,B,0.0529825538783844
null_fe,C1,10644233715504828e29
null_fe,C2,0.08116617435781345
null_fe,A,35240115463016106e23
null_fe,B,0.21169143208140448
null_fe,C1,38227561846516456e24
null_fe,C2,0.09218509829244424
null_fe,A,838795226549314e31
null_fe,B,20.693106844629646
null_fe,C1,10049158217474517e31
null_fe,C2,0.08346920293191622
null_fe,A,1910323499009008e20
null_fe,B,1.7360912807573081
null_fe,C1,4506776272484441e20
null_fe,C2,0.4238780413113136
null_fe,A,28491170091299735e17
null_fe,B,0.749642258305677
null_fe,C1,35946457142902455e18
null_fe,C2,0.07926002269997072
null_none,A,610172967961742e66
null_none,B,952304.5254283065
null_none,C1,62101580671018754e22
null_none,C2,982540156576875e27
null_none,A,6438457839150839e68
null_none,B,36614.25473518485
null_none,C1,545162163758772e28
null_none,C2,11810170013925954e25
null_none,A,19569885747413178e55
null_none,B,9778.558294263556
null_none,C1,16075809550401803e18
null_none,C2,12173499372492904e21
null_none,A,6813894240404888e70
null_none,B,321184.5824908666
null_none,C1,13435267469041121e29
null_none,C2,507164762897809e26
null_none,A,15155100274537678e61
null_none,B,218746.42741907595
null_none,C1,1844468075092029e25
null_none,C2,8216515362447528e21
null_none,A,22188768600635673e69
null_none,B,127875.03356337376
null_none,C1,5689633919938436e31
null_none,C2,38998587453717524e22
null_none,A,5361541102102747e69
null_none,B,296996179279.97186
null_none,C1,2394759751855345e20
null_none,C2,22388638768247554e33
null_none,A,21631517025343894e59
null_none,B,4239650.179662079
null_none,C1,2511750281679436e19
null_none,C2,8612128834272639e25
null_both,A,6.349544502708153e-4
null_both,B,0.0718075330759153
