p.value,null_model,data_structure
0.8114148884693342,A,null_both
0.3276930522652303,B,null_both
1,C1,null_both
0.32769305226521594,C2,null_both
0.546718519041143,A,null_both
0.5525338898835155,B,null_both
0.4460034350945117,C1,null_both
0.4747474072735281,C2,null_both
0.15778304944090252,A,null_both
0.2023968100317564,B,null_both
0.2435912939155626,C1,null_both
0.12332271385173106,C2,null_both
0.8748606334055822,A,null_both
0.6122363188134822,B,null_both
0.8260370556677963,C1,null_both
0.5772387573152293,C2,null_both
0.35345698201514497,A,null_both
0.9451891218440578,B,null_both
0.19683708761244434,C1,null_both
0.9297699732510338,C2,null_both
0.9867025966411187,A,null_both
0.7087370400463394,B,null_both
1,C1,null_both
0.7087370400459432,C2,null_both
0.429546698404142,A,null_both
0.243904415580798,B,null_both
0.5463727487793482,C1,null_both
0.21246136027930793,C2,null_both
0.13435424825093362,A,null_both
0.3165979400261119,B,null_both
0.14868093174885752,C1,null_both
0.1845250187244033,C2,null_both
0.6460731404875082,A,null_both
0.39733744842721896,B,null_both
0.6964573820330203,C1,null_both
0.3334209723080545,C2,null_both
0.9782127950176022,A,null_both
0.657868907312508,B,null_both
1,C1,null_both
0.6578689073121831,C2,null_both
0.6670525584491406,A,null_both
0.9075879417942526,B,null_both
0.4607011576559902,C1,null_both
0.8984114552653919,C2,null_both
0.9702844754415804,A,null_both
0.6217121020598114,B,null_both
0.9999999999998579,C1,null_both
0.6217121020599538,C2,null_both
0.06876281787911889,A,null_both
0.013377200815549252,B,null_both
0.9164264155517946,C1,null_both
0.008495412149740504,C2,null_both
0.9984178499900059,A,null_both
0.9547431288665547,B,null_both
0.9845364178684634,C1,null_both
0.96541656378341,C2,null_both
0.9793077106918217,A,null_both
0.767644190293324,B,null_both
0.9532550647773936,C1,null_both
0.7597836517504509,C2,null_both
0.965885111895765,A,null_both
0.6100004259527405,B,null_both
0.9960620106492053,C1,null_both
0.6098750326768799,C2,null_both
0.2567740677658855,A,null_both
0.04433410280122644,B,null_both
0.999999999999801,C1,null_both
0.0443341028012368,C2,null_both
0.9673547574417165,A,null_both
0.6147163416223959,B,null_both
0.9967925424794911,C1,null_both
0.6145211515900834,C2,null_both
0.42270542887991697,A,null_both
0.10461551577535734,B,null_both
0.9999905334022275,C1,null_both
0.09398191494375535,C2,null_both
0.14672473328463242,A,null_both
0.08694791161666812,B,null_both
0.43085060980344536,C1,null_both
0.05492313919668013,C2,null_both
0.9366529059292861,A,null_both
0.518303962590769,B,null_both
1,C1,null_both
0.5183039625901992,C2,null_both
0.822069341227421,A,null_both
0.3390786307514198,B,null_both
1,C1,null_both
0.33907863075158123,C2,null_both
0.7778259491287113,A,null_both
0.2949505878488586,B,null_both
1,C1,null_both
0.29495058784877104,C2,null_both
0.014551549192142623,A,null_both
0.9704396140947991,B,null_both
0.005174771592385905,C1,null_both
0.9551833271998569,C2,null_both
0.9215464299340984,A,null_both
1,B,null_both
1,C1,null_both
0.48487551972978327,C2,null_both
0.986898378311037,A,null_both
0.7101472136827238,B,null_both
1,C1,null_both
0.7101472136812148,C2,null_both
0.9673749223937854,A,null_both
0.6326821569618265,B,null_both
0.9893307980957079,C1,null_both
0.6252895492197322,C2,null_both
0.7175556539496983,A,null_both
0.294891271613509,B,null_both
0.9175337681285596,C1,null_both
0.27801519510849226,C2,null_both
